title,description,content,url,image,publishedat,source
Exclusive: Tesla taps Asian partners to address 4680 battery concerns,"It's crunch time at Tesla Inc , where Elon Musk is looking to crack the code for making better, cheaper batteries.","[1/2] Kazuo Tadanobu, CEO of Panasonic's Energy Company, holds a prototype of the 4680 format battery cell (L) next to the current 2170 battery supplied to Tesla Inc during a news conference in Tokyo, Japan October 25, 2021.REUTERS/Tim Kelly/File Pho... [6024 chars]",https://www.reuters.com/business/autos-transportation/tesla-taps-asian-partners-address-4680-battery-concerns-2023-03-10/,https://www.reuters.com/resizer/614FA2RmbEHfaM3esxpxwmw4rXw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NXPYIK7GGBLT7GWJ4MDHJYPVIE.jpg,2023-03-11T02:36:35Z,Reuters
"Musk exercises options to buy 10,500 Tesla shares","Musk exercises options to buy 10,500 Tesla shares - filing","© Reuters Musk exercises options to buy 10,500 Tesla (TSLA) shares - filing
TSLA +0.30% Add to/Remove from Watchlist
Elon Musk, CEO of Tesla (TSLA), disclosed yesterday that he acquired 10,500 shares of the electric vehicle (EV) company after exercis... [383 chars]",https://www.investing.com/news/stock-market-news/musk-exercises-options-to-buy-10500-tesla-shares--filing-432SI-3028066,https://i-invdn-com.investing.com/news/moved_LYNXMPEI0P13A_L.jpg,2023-03-11T05:00:00Z,Investing.com
"Elon Musk exercises options to acquire 10,500 Tesla shares","Elon Musk exercises options to acquire 10,500 Tesla shares - filing","© Reuters. FILE PHOTO: Tesla Inc CEO Elon Musk speaks onstage during a delivery event for Tesla China-made Model 3 cars at its factory in Shanghai, China January 7, 2020. REUTERS/Aly Song/File Photo
TSLA +0.30% Add to/Remove from Watchlist
(Reuters) ... [326 chars]",https://www.investing.com/news/stock-market-news/elon-musk-acquires-10500-tesla-shares-worth-about-50000--filing-3027994,https://i-invdn-com.investing.com/news/LYNXMPEE6B0L1_L.jpg,2023-03-10T05:00:00Z,Investing.com
"Employee Stole From Lovisa, Spent Money on Tesla, Trip to Hawaii","A Lasell University student is facing charges that she stole over $500,000 from the jewelry store where she worked and used at least some of those funds to buy...","A student and track star at Lasell University in Newton, Massachusetts, is appearing in court on Friday after being arrested for allegedly stealing over $500,000 from the jewelry store where she worked and using at least some of those funds to buy a ... [2687 chars]",https://www.nbcboston.com/news/local/lasell-university-student-charged-with-stealing-500k-from-employer-appearing-in-court-friday/2992625/,https://media.nbcboston.com/2023/03/tesla.jpg?quality=85&strip=all&resize=1200%2C675,2023-03-10T08:41:24Z,NBC10 Boston
Tesla Stock Loses Buy Rating at Berenberg: 5 Big Analyst Calls,"Stocks Analysis by Garrett Cook covering: Caterpillar Inc, Costco Wholesale Corp, KB Home, Tesla Inc. Read Garrett Cook's latest article on Investing.com","CAT -5.79% Add to/Remove from Watchlist COST -1.75% Add to/Remove from Watchlist KBH -2.62% Add to/Remove from Watchlist TSLA +0.30% Add to/Remove from Watchlist GLNCY +0.36% Add to/Remove from Watchlist ETSY -1.63% Add to/Remove from Watchlist
Tesla... [5425 chars]",https://www.investing.com/analysis/tesla-stock-loses-buy-rating-at-berenberg-5-big-analyst-calls--pro-recap-200636128,https://i-invdn-com.investing.com/redesign/images/seo/investingcom_analysis_og.jpg,2023-03-12T05:00:00Z,Investing.com
Tesla Battery Supplier CATL Sees Profits Surge Amid Global EV Boom,CATL earnings nearly doubled in 2022 capped by a strong fourth quarter. It cited global EV demand. China EV stocks fell.,"China's CATL beat annual earnings expectations on the back of a strong fourth quarter. The company, a leading battery supplier to Tesla and others, cited worldwide demand for electric vehicles.
X
Contemporary Amperex Technology, or CATL, disclosed in... [2995 chars]",https://www.investors.com/news/china-ev-stocks-tesla-battery-supplier-catl-sees-profits-surge-global-ev-boom/,https://www.investors.com/wp-content/uploads/2020/09/Stock-EVbattery-02-shutt.jpg,2023-03-10T12:49:50Z,Investor's Business Daily
"Elon Musk Is 'Open' to Buying SVB, Tesla Investor Says 'No Thanks'","One Tesla shareholder feared the Twitter and Tesla CEO might sell ""another $20 billion worth of $Tesla stock"" to help finance a purchase.","Elon Musk tweeted late Friday he was ""open to the idea"" of buying the failed Silicon Valley Bank.
A Tesla investor appeared to disapprove of the billionaire's idea, telling him ""no thanks.""
Musk sold about $23 billion of Tesla stock last year to help... [2106 chars]",https://markets.businessinsider.com/news/stocks/elon-musk-buy-silicon-valley-bank-tesla-investor-no-thanks-2023-3,https://i.insider.com/640c45008b8d9b0018cacc9d?width=1200&format=jpeg,2023-03-11T05:00:00Z,Business Insider
Tesla 4680 battery’s secret sauce: Dry electrode coating,Tesla Inc is pioneering a new battery manufacturing process called dry electrode coating that it is applying to its new 4680 battery cells.,"March 10 (Reuters) - Tesla Inc (TSLA.O) is pioneering a new battery manufacturing process called dry electrode coating that it is applying to its new 4680 battery cells.
The dry process, which Tesla obtained via its 2019 acquisition of California sta... [836 chars]",https://www.reuters.com/technology/tesla-4680-batterys-secret-sauce-dry-electrode-coating-2023-03-10/,https://www.reuters.com/resizer/EzmKP7ndF7ymnW5Wom844xZG8Sk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/LCEYWTKRDJM37MN4OFMQIVO754.jpg,2023-03-11T18:12:40Z,Reuters
These 16 Tesla crashes are part of a federal investigation,Map: Sixteen Tesla crashes are the focus of a federal investigation into incidents in which a car using Autopilot ran into a stationary emergency vehicle on a highway.,"Sixteen Tesla crashes are the focus of a federal investigation into incidents in which a car using Autopilot ran into a stationary emergency vehicle on a highway.
The National Highway Traffic Safety Administration opened a preliminary evaluation in A... [5644 chars]",https://www.mercurynews.com/2023/03/09/map-these-16-tesla-crashes-are-part-of-a-federal-investigation-into-autopilot/,https://www.mercurynews.com/wp-content/uploads/2023/03/teslacrashes.png?w=1024&h=631,2023-03-09T17:31:08Z,The Mercury News
Tesla reveals the Model S will have a new 'high-visibility glass roof',Tesla claims that the new glass roof weighs less and allows in 5 times more light while maintaining the same level of UV protection compared to the old roof.,"Tesla has since informed its customers through email of all of these changes. According to Tesla, a new ""high-visibility glass roof"" is being added to the Model S.
More updates:
- Glass roof now weighs less & lets in 5x more light with same level of ... [821 chars]",https://interestingengineering.com/transportation/tesla-reveals-model-s-visibility-glass-roof,https://dnd2oi6izkvoi.cloudfront.net/2023/03/10/image/jpeg/b7WVPTmYfFQjnRz1PZ21EqrjALur2H7mePhyay7L.jpg,2023-03-10T15:48:49Z,Interesting Engineering
"Can Tesla Model X Plaid Beat Ferrari SF90, Aventador SVJ In A Drag Race?","The Tesla Model X Plaid doesn't make sense. It seats six and yet it produces over 1,000 horsepower that can match a Ferrari SF90 and Lamborghini Aventador SVJ.","Listen to this article
The Tesla Model X Plaid is just mind-blowing. The electric crossover seats six people aboard and yet, it produces over 1,000 horsepower that can outpower even the most powerful ICE-powered SUV on the planet. But can it match a ... [1728 chars]",https://www.motor1.com/news/656807/tesla-model-x-ferrari-sf90-aventador-svj-drag-race/,https://cdn.motor1.com/images/mgl/6ZAlrE/s1/tesla-model-x-plaid-v-ferrary-sf90-v-lamborghini-aventador-svj-drag-race.jpg,2023-03-12T09:52:00Z,Motor1 
Tesla Stock Loses Buy Rating at Berenberg: 5 Big Analyst Calls,"Stocks Analysis by Garrett Cook covering: Caterpillar Inc, Costco Wholesale Corp, KB Home, Tesla Inc. Read Garrett Cook's latest article on Investing.com","CAT -5.79% Add to/Remove from Watchlist COST -1.75% Add to/Remove from Watchlist KBH -2.62% Add to/Remove from Watchlist TSLA +0.30% Add to/Remove from Watchlist GLNCY +0.36% Add to/Remove from Watchlist ETSY -1.63% Add to/Remove from Watchlist
Tesla... [5425 chars]",https://www.investing.com/analysis/tesla-stock-loses-buy-rating-at-berenberg-5-big-analyst-calls--pro-recap-200636128,https://i-invdn-com.investing.com/redesign/images/seo/investingcom_analysis_og.jpg,2023-03-12T05:00:00Z,Investing.com
Elon Musk ‘owned’ by China: Tesla CEO responds to former Donald Trump adviser Steve Bannon’s allegation,"Despite sharing similar political views, Elon Musk and Steve Bannon appear to have a mutual dislike for each other.","During a recent podcast, right-wing podcaster Tim Pool asked former Donald Trump adviser Steve Bannon for his thoughts on Razer CEO Min-Liang Tan's suggestion that Elon Musk should buy Silicon Valley Bank (SVB), which recently collapsed and became th... [1991 chars]",https://www.livemint.com/news/world/elon-musk-owned-by-china-tesla-ceo-responds-to-former-donald-trump-adviser-steve-bannon-s-allegation-11678609136187.html,https://images.livemint.com/img/2023/03/12/600x338/TESLA-MUSK--3_1678609400719_1678609400719_1678609410831_1678609410831.JPG,2023-03-11T18:30:00Z,Livemint
Tesla 4680 battery’s secret sauce: Dry electrode coating,Tesla Inc is pioneering a new battery manufacturing process called dry electrode coating that it is applying to its new 4680 battery cells.,"March 10 (Reuters) - Tesla Inc (TSLA.O) is pioneering a new battery manufacturing process called dry electrode coating that it is applying to its new 4680 battery cells.
The dry process, which Tesla obtained via its 2019 acquisition of California sta... [836 chars]",https://www.reuters.com/technology/tesla-4680-batterys-secret-sauce-dry-electrode-coating-2023-03-10/,https://www.reuters.com/resizer/EzmKP7ndF7ymnW5Wom844xZG8Sk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/LCEYWTKRDJM37MN4OFMQIVO754.jpg,2023-03-11T18:12:40Z,Reuters
"Elon Musk says he's 'open to the idea' of buying Silicon Valley Bank, but a Tesla investor tells him 'no thanks'","Elon Musk tweeted late Friday he was ""open to the idea"" of buying the failed Silicon Valley Bank.A Tesla investor appeared to disapprove of the billionaire's","Elon Musk tweeted late Friday he was ""open to the idea"" of buying the failed Silicon Valley Bank.
A Tesla investor appeared to disapprove of the billionaire's idea, telling him ""no thanks.""
Advertisement
Elon Musk said late Friday he was ""open to the... [1996 chars]",https://www.businessinsider.in/tech/news/elon-musk-says-hes-open-to-the-idea-of-buying-silicon-valley-bank-but-a-tesla-investor-tells-him-no-thanks/articleshow/98564680.cms,https://www.businessinsider.in/photo/98564680/elon-musk-says-hes-open-to-the-idea-of-buying-silicon-valley-bank-but-a-tesla-investor-tells-him-no-thanks.jpg?imgsize=47436,2023-03-11T10:04:00Z,Business Insider India
"Musk exercises options to buy 10,500 Tesla shares","Musk exercises options to buy 10,500 Tesla shares - filing","© Reuters Musk exercises options to buy 10,500 Tesla (TSLA) shares - filing
TSLA +0.30% Add to/Remove from Watchlist
Elon Musk, CEO of Tesla (TSLA), disclosed yesterday that he acquired 10,500 shares of the electric vehicle (EV) company after exercis... [383 chars]",https://www.investing.com/news/stock-market-news/musk-exercises-options-to-buy-10500-tesla-shares--filing-432SI-3028066,https://i-invdn-com.investing.com/news/moved_LYNXMPEI0P13A_L.jpg,2023-03-11T05:00:00Z,Investing.com
"Elon Musk Is 'Open' to Buying SVB, Tesla Investor Says 'No Thanks'","One Tesla shareholder feared the Twitter and Tesla CEO might sell ""another $20 billion worth of $Tesla stock"" to help finance a purchase.","Elon Musk tweeted late Friday he was ""open to the idea"" of buying the failed Silicon Valley Bank.
A Tesla investor appeared to disapprove of the billionaire's idea, telling him ""no thanks.""
Musk sold about $23 billion of Tesla stock last year to help... [2106 chars]",https://markets.businessinsider.com/news/stocks/elon-musk-buy-silicon-valley-bank-tesla-investor-no-thanks-2023-3,https://i.insider.com/640c45008b8d9b0018cacc9d?width=1200&format=jpeg,2023-03-11T05:00:00Z,Business Insider
Exclusive: Tesla taps Asian partners to address 4680 battery concerns,"It's crunch time at Tesla Inc , where Elon Musk is looking to crack the code for making better, cheaper batteries.","[1/2] Kazuo Tadanobu, CEO of Panasonic's Energy Company, holds a prototype of the 4680 format battery cell (L) next to the current 2170 battery supplied to Tesla Inc during a news conference in Tokyo, Japan October 25, 2021.REUTERS/Tim Kelly/File Pho... [6024 chars]",https://www.reuters.com/business/autos-transportation/tesla-taps-asian-partners-address-4680-battery-concerns-2023-03-10/,https://www.reuters.com/resizer/614FA2RmbEHfaM3esxpxwmw4rXw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NXPYIK7GGBLT7GWJ4MDHJYPVIE.jpg,2023-03-11T02:36:35Z,Reuters
"Disney, Tesla, Netflix - Which earnings calls stood out this season",Yahoo Finance media reporter Allie Canal breaks down the standout earnings calls from the first quarter of 2023.,"The Canadian Press
MONTREAL — The head of Transat AT Inc. says travel demand is poised to reach heights comparable with 2019, even as higher airfares and the threat of recession risk dampening customers' enthusiasm. ""Transat is moving towards a gradu... [268 chars]",https://ca.finance.yahoo.com/video/disney-tesla-netflix-earnings-calls-220318225.html,https://s.yimg.com/ny/api/res/1.2/vOdxK936hepA1BfdXvEl9Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2023-03/02b33180-bf8f-11ed-bfe9-e03697decf8e,2023-03-10T22:03:18Z,Yahoo Canada Finance
Tesla reveals the Model S will have a new 'high-visibility glass roof',Tesla claims that the new glass roof weighs less and allows in 5 times more light while maintaining the same level of UV protection compared to the old roof.,"Tesla has since informed its customers through email of all of these changes. According to Tesla, a new ""high-visibility glass roof"" is being added to the Model S.
More updates:
- Glass roof now weighs less & lets in 5x more light with same level of ... [821 chars]",https://interestingengineering.com/transportation/tesla-reveals-model-s-visibility-glass-roof,https://dnd2oi6izkvoi.cloudfront.net/2023/03/10/image/jpeg/b7WVPTmYfFQjnRz1PZ21EqrjALur2H7mePhyay7L.jpg,2023-03-10T15:48:49Z,Interesting Engineering
